"SYS";"TotalSumT10km";"TotalMedianSTABFQ";"AnzSTA_3_Systemtrassen"
"REM_7";5462734,22010895;1,07837059020914;10
"REM_8";5462783,18636058;1,07897947431809;10
"REM_6";5466611,93382935;1,08069243459514;10
"REM_12";5466800,40059491;1,07744359208032;10
"REM_5";5466871,53769739;1,07619785859975;10
"REM_11";5467124,09382268;1,07837059020914;10
"REM_13";5467160,99671499;1,0781045014372;10
"REM_17";5468492,12620708;1,08335119115171;10
"REM_10";5468827,10559557;1,07837059020914;10
"REM_4";5471424,59899728;1,08069243459514;10
"REM_9";5471664,67393443;1,07600258545322;10
"REM_3";5474685,13300015;1,08061232420654;10
"REM_14";5484912,39955004;1,0813340633057;10
"REM_15";5489384,35306156;1,08193405621313;10
"REM_16";5489751,05911228;1,08178276537759;10
"REM_2";5491154,58905405;1,07589683582606;9
"REM_18";5493286,16086352;1,09130865802511;10
"REM_19";5494034,15753353;1,09130865802511;10
"REM_21";5534359,67772745;1,10074636935496;15
"REM_20";5537276,33600235;1,10234197731058;10
"REM_1";5589817,08120535;1,0718306945407;0
